fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
7,00;0.27;0.36;45493,00;0.045;45,00;170,00;1.001;3,00;0.45;45512,00;6,00
45357,00;0.3;0.34;45444,00;0.049;14,00;132,00;0.994;45354,00;0.49;45421,00;6,00
45299,00;0.28;0.4;45541,00;0.05;30,00;97,00;0.9951;46082,00;0.44;45301,00;6,00
45329,00;0.23;0.32;45420,00;0.058;47,00;186,00;0.9956;43525,00;0.4;45544,00;6,00
45329,00;0.23;0.32;45420,00;0.058;47,00;186,00;0.9956;43525,00;0.4;45544,00;6,00
45299,00;0.28;0.4;45541,00;0.05;30,00;97,00;0.9951;46082,00;0.44;45301,00;6,00
45328,00;0.32;0.16;7,00;0.045;30,00;136,00;0.9949;43160,00;0.47;45452,00;6,00
7,00;0.27;0.36;45493,00;0.045;45,00;170,00;1.001;3,00;0.45;45512,00;6,00
45357,00;0.3;0.34;45444,00;0.049;14,00;132,00;0.994;45354,00;0.49;45421,00;6,00
45299,00;0.22;0.43;45413,00;0.044;28,00;129,00;0.9938;44621,00;0.45;11,00;6,00
45299,00;0.27;0.41;16438,00;0.033;11,00;63,00;0.9908;36192,00;0.56;12,00;5,00
45451,00;0.23;0.4;45326,00;0.035;17,00;109,00;0.9947;41699,00;0.53;45482,00;5,00
45542,00;0.18;0.37;45323,00;0.04;16,00;75,00;0.992;43160,00;0.63;45514,00;5,00
45449,00;0.16;0.4;45413,00;0.044;48,00;143,00;0.9912;19784,00;0.52;45394,00;7,00
45359,00;0.42;0.62;19.25;0.04;41,00;172,00;1.0002;35827,00;0.67;45482,00;5,00
45449,00;0.17;0.38;45413,00;0.032;28,00;112,00;0.9914;45717,00;0.55;45393,00;7,00
45357,00;0.48;0.04;45292,00;0.046;30,00;99,00;0.9928;45352,00;0.36;45452,00;6,00
45328,00;0.66;0.48;45323,00;0.029;29,00;75,00;0.9892;12114,00;0.39;45516,00;8,00
45389,00;0.34;0.42;45292,00;0.033;17,00;171,00;0.9917;45629,00;0.53;45362,00;6,00
45418,00;0.31;0.14;45419,00;0.044;34,00;133,00;0.9955;44621,00;0.5;45421,00;5,00
45328,00;0.66;0.48;45323,00;0.029;29,00;75,00;0.9892;12114,00;0.39;45516,00;8,00
45388,00;0.31;0.38;45537,00;0.038;19,00;102,00;0.9912;42795,00;0.35;11,00;7,00
45510,00;0.26;0.42;45474,00;0.049;41,00;122,00;0.993;17227,00;0.48;45422,00;8,00
45450,00;0.67;0.14;45413,00;0.074;25,00;168,00;0.9937;45415,00;0.51;45360,00;5,00
45449,00;0.27;0.41;45352,00;0.052;16,00;142,00;0.9951;15401,00;0.47;10,00;6,00
